"Statistic Label","CensusYear","Sex","Administrative Counties","UNIT","VALUE"
"Persons with a disability to a great extent","2022","Both sexes","Ireland","Number","407342"
"Persons with a disability to a great extent","2022","Both sexes","Carlow County Council","Number","5496"
"Persons with a disability to a great extent","2022","Both sexes","Dublin City Council","Number","47483"
"Persons with a disability to a great extent","2022","Both sexes","Dún Laoghaire Rathdown County Council","Number","15890"
"Persons with a disability to a great extent","2022","Both sexes","Fingal County Council","Number","20511"
"Persons with a disability to a great extent","2022","Both sexes","South Dublin County Council","Number","22970"
"Persons with a disability to a great extent","2022","Both sexes","Kildare County Council","Number","17663"
"Persons with a disability to a great extent","2022","Both sexes","Kilkenny County Council","Number","8300"
"Persons with a disability to a great extent","2022","Both sexes","Laois County Council","Number","7679"
"Persons with a disability to a great extent","2022","Both sexes","Longford County Council","Number","3976"
"Persons with a disability to a great extent","2022","Both sexes","Louth County Council","Number","11704"
"Persons with a disability to a great extent","2022","Both sexes","Meath County Council","Number","14875"
"Persons with a disability to a great extent","2022","Both sexes","Offaly County Council","Number","7480"
"Persons with a disability to a great extent","2022","Both sexes","Westmeath County Council","Number","7682"
"Persons with a disability to a great extent","2022","Both sexes","Wexford County Council","Number","15047"
"Persons with a disability to a great extent","2022","Both sexes","Wicklow County Council","Number","12487"
"Persons with a disability to a great extent","2022","Both sexes","Clare County Council","Number","10094"
"Persons with a disability to a great extent","2022","Both sexes","Cork City Council","Number","20465"
"Persons with a disability to a great extent","2022","Both sexes","Cork County Council","Number","27537"
"Persons with a disability to a great extent","2022","Both sexes","Kerry County Council","Number","12903"
"Persons with a disability to a great extent","2022","Both sexes","Limerick City & County Council","Number","18422"
"Persons with a disability to a great extent","2022","Both sexes","Tipperary County Council","Number","15087"
"Persons with a disability to a great extent","2022","Both sexes","Waterford City & County Council","Number","10918"
"Persons with a disability to a great extent","2022","Both sexes","Galway City Council","Number","6534"
"Persons with a disability to a great extent","2022","Both sexes","Galway County Council","Number","14399"
"Persons with a disability to a great extent","2022","Both sexes","Leitrim County Council","Number","2995"
"Persons with a disability to a great extent","2022","Both sexes","Mayo  County Council","Number","11438"
"Persons with a disability to a great extent","2022","Both sexes","Roscommon County Council","Number","6163"
"Persons with a disability to a great extent","2022","Both sexes","Sligo County Council","Number","5886"
"Persons with a disability to a great extent","2022","Both sexes","Cavan County Council","Number","6105"
"Persons with a disability to a great extent","2022","Both sexes","Donegal County Council","Number","14577"
"Persons with a disability to a great extent","2022","Both sexes","Monaghan County Council","Number","4576"
"Persons with a disability to a great extent","2022","Male","Ireland","Number","191388"
"Persons with a disability to a great extent","2022","Male","Carlow County Council","Number","2625"
"Persons with a disability to a great extent","2022","Male","Dublin City Council","Number","21634"
"Persons with a disability to a great extent","2022","Male","Dún Laoghaire Rathdown County Council","Number","6846"
"Persons with a disability to a great extent","2022","Male","Fingal County Council","Number","9288"
"Persons with a disability to a great extent","2022","Male","South Dublin County Council","Number","10598"
"Persons with a disability to a great extent","2022","Male","Kildare County Council","Number","8443"
"Persons with a disability to a great extent","2022","Male","Kilkenny County Council","Number","4000"
"Persons with a disability to a great extent","2022","Male","Laois County Council","Number","3738"
"Persons with a disability to a great extent","2022","Male","Longford County Council","Number","1887"
"Persons with a disability to a great extent","2022","Male","Louth County Council","Number","5550"
"Persons with a disability to a great extent","2022","Male","Meath County Council","Number","7113"
"Persons with a disability to a great extent","2022","Male","Offaly County Council","Number","3644"
"Persons with a disability to a great extent","2022","Male","Westmeath County Council","Number","3681"
"Persons with a disability to a great extent","2022","Male","Wexford County Council","Number","7130"
"Persons with a disability to a great extent","2022","Male","Wicklow County Council","Number","5951"
"Persons with a disability to a great extent","2022","Male","Clare County Council","Number","4766"
"Persons with a disability to a great extent","2022","Male","Cork City Council","Number","9348"
"Persons with a disability to a great extent","2022","Male","Cork County Council","Number","13034"
"Persons with a disability to a great extent","2022","Male","Kerry County Council","Number","6178"
"Persons with a disability to a great extent","2022","Male","Limerick City & County Council","Number","8848"
"Persons with a disability to a great extent","2022","Male","Tipperary County Council","Number","7360"
"Persons with a disability to a great extent","2022","Male","Waterford City & County Council","Number","5146"
"Persons with a disability to a great extent","2022","Male","Galway City Council","Number","2962"
"Persons with a disability to a great extent","2022","Male","Galway County Council","Number","6928"
"Persons with a disability to a great extent","2022","Male","Leitrim County Council","Number","1405"
"Persons with a disability to a great extent","2022","Male","Mayo  County Council","Number","5307"
"Persons with a disability to a great extent","2022","Male","Roscommon County Council","Number","3011"
"Persons with a disability to a great extent","2022","Male","Sligo County Council","Number","2745"
"Persons with a disability to a great extent","2022","Male","Cavan County Council","Number","3021"
"Persons with a disability to a great extent","2022","Male","Donegal County Council","Number","6984"
"Persons with a disability to a great extent","2022","Male","Monaghan County Council","Number","2217"
"Persons with a disability to a great extent","2022","Female","Ireland","Number","215954"
"Persons with a disability to a great extent","2022","Female","Carlow County Council","Number","2871"
"Persons with a disability to a great extent","2022","Female","Dublin City Council","Number","25849"
"Persons with a disability to a great extent","2022","Female","Dún Laoghaire Rathdown County Council","Number","9044"
"Persons with a disability to a great extent","2022","Female","Fingal County Council","Number","11223"
"Persons with a disability to a great extent","2022","Female","South Dublin County Council","Number","12372"
"Persons with a disability to a great extent","2022","Female","Kildare County Council","Number","9220"
"Persons with a disability to a great extent","2022","Female","Kilkenny County Council","Number","4300"
"Persons with a disability to a great extent","2022","Female","Laois County Council","Number","3941"
"Persons with a disability to a great extent","2022","Female","Longford County Council","Number","2089"
"Persons with a disability to a great extent","2022","Female","Louth County Council","Number","6154"
"Persons with a disability to a great extent","2022","Female","Meath County Council","Number","7762"
"Persons with a disability to a great extent","2022","Female","Offaly County Council","Number","3836"
"Persons with a disability to a great extent","2022","Female","Westmeath County Council","Number","4001"
"Persons with a disability to a great extent","2022","Female","Wexford County Council","Number","7917"
"Persons with a disability to a great extent","2022","Female","Wicklow County Council","Number","6536"
"Persons with a disability to a great extent","2022","Female","Clare County Council","Number","5328"
"Persons with a disability to a great extent","2022","Female","Cork City Council","Number","11117"
"Persons with a disability to a great extent","2022","Female","Cork County Council","Number","14503"
"Persons with a disability to a great extent","2022","Female","Kerry County Council","Number","6725"
"Persons with a disability to a great extent","2022","Female","Limerick City & County Council","Number","9574"
"Persons with a disability to a great extent","2022","Female","Tipperary County Council","Number","7727"
"Persons with a disability to a great extent","2022","Female","Waterford City & County Council","Number","5772"
"Persons with a disability to a great extent","2022","Female","Galway City Council","Number","3572"
"Persons with a disability to a great extent","2022","Female","Galway County Council","Number","7471"
"Persons with a disability to a great extent","2022","Female","Leitrim County Council","Number","1590"
"Persons with a disability to a great extent","2022","Female","Mayo  County Council","Number","6131"
"Persons with a disability to a great extent","2022","Female","Roscommon County Council","Number","3152"
"Persons with a disability to a great extent","2022","Female","Sligo County Council","Number","3141"
"Persons with a disability to a great extent","2022","Female","Cavan County Council","Number","3084"
"Persons with a disability to a great extent","2022","Female","Donegal County Council","Number","7593"
"Persons with a disability to a great extent","2022","Female","Monaghan County Council","Number","2359"
